blip_no_defence_0.json,23.7,12.3,17.4,17.9,12.9,11.5,19.6,0.0,[19.6]
blip_no_defence_1.json,22.9,12.5,16.8,17.9,13.6,11.2,19.1,0.0,[19.1]
blip_no_defence_2.json,23.1,11.7,17.0,18.2,12.4,11.2,19.0,0.0,[19.0]
blip_with_denoise_0.json,21.3,11.1,13.2,14.4,13.1,9.6,17.2,0.0,[17.2]
blip_with_denoise_1.json,22.1,10.9,14.6,15.9,12.4,7.7,17.5,0.0,[17.5]
blip_with_denoise_2.json,24.5,10.2,16.8,16.6,11.5,9.6,19.4,0.0,[19.4]
llava_no_defence_0.json,34.6,24.2,17.0,19.5,27.7,3.8,31.4,0.0,[31.4]
llava_no_defence_1.json,34.3,22.5,16.1,18.9,26.8,3.8,30.5,0.0,[30.5]
llava_no_defence_2.json,34.1,22.8,16.1,18.5,26.4,3.8,30.6,0.0,[30.6]
llava_with_denoise_0.json,33.0,24.5,15.5,18.5,29.7,3.8,30.6,0.0,[30.6]
llava_with_denoise_1.json,30.5,20.5,14.8,16.9,23.5,3.8,27.2,0.0,[27.2]
llava_with_denoise_2.json,32.0,21.0,16.0,18.7,26.8,3.8,28.3,0.0,[28.3]
minigpt4_no_defence_0.json,25.3,13.1,15.6,15.9,17.3,14.2,20.9,0.0,[20.9]
minigpt4_no_defence_1.json,27.8,10.8,18.6,16.9,14.5,0.0,21.5,0.0,[21.5]
minigpt4_no_defence_2.json,24.7,14.4,16.5,16.4,20.1,3.5,21.0,0.0,[21.0]
minigpt4_with_denoise_0.json,20.8,11.6,12.4,12.0,11.9,0.0,17.2,0.0,[17.2]
minigpt4_with_denoise_1.json,22.3,12.6,11.1,13.4,13.6,7.7,17.9,0.0,[17.9]
minigpt4_with_denoise_2.json,26.2,8.0,14.4,15.0,11.5,0.4,19.1,0.0,[19.1]
qwen_no_defence_0.json,52.3,36.9,41.5,37.7,39.6,22.3,47.1,0.0,[47.1]
qwen_no_defence_1.json,51.6,36.6,42.6,39.0,37.9,18.8,46.1,0.0,[46.1]
qwen_no_defence_2.json,50.9,36.1,40.7,37.5,38.4,19.2,45.7,0.0,[45.7]
qwen_with_denoise_0.json,45.3,35.2,34.5,30.4,38.3,18.8,42.0,0.0,[42.0]
qwen_with_denoise_1.json,43.5,36.6,33.9,31.2,39.2,18.8,41.4,0.0,[41.4]
qwen_with_denoise_2.json,44.9,31.5,33.3,30.9,34.3,15.4,39.4,0.0,[39.4]
blip_with_defence_0,13.9,10.1,7.7,9.0,12.9,7.7,12.3,0.0,[12.3]
blip_with_defence_1,13.7,8.3,7.5,7.1,11.1,7.7,12.0,0.0,[12.0]
blip_with_defence_2,15.9,9.9,9.8,10.0,12.9,7.7,13.7,0.0,[13.7]
llava_with_defence_0,21.1,18.8,8.1,7.6,22.4,3.8,20.1,0.0,[20.1]
llava_with_defence_1,19.9,18.6,6.5,8.2,22.1,0.0,19.0,0.0,[19.0]
llava_with_defence_2,18.2,18.9,5.5,6.2,19.9,3.8,18.3,0.0,[18.3]
minigpt4_with_defence_0,11.8,14.0,8.3,7.3,15.9,3.8,11.7,0.0,[11.7]
minigpt4_with_defence_1,18.1,11.1,11.0,8.8,15.5,3.8,15.2,0.0,[15.2]
minigpt4_with_defence_2,14.8,9.0,6.9,6.3,11.9,3.8,12.0,0.0,[12.0]
qwen_with_defence_0,28.4,32.6,18.9,17.2,33.1,18.8,28.9,0.0,[28.9]
qwen_with_defence_1,29.9,33.3,21.4,18.0,33.1,18.8,30.5,0.0,[30.5]
qwen_with_defence_2,28.8,28.7,19.6,18.0,30.5,11.5,28.3,0.0,[28.3]
